"country","b","signatureAlgorithm","issuer","prime","fieldType","a","publicKeyAlgorithm","exponent","generator","publicKeyBit","cofactor","order","pub"
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
"NZ","","sha256WithRSAEncryption","C = NZ, O = Government of New Zealand, OU = Passports, OU = Identity Services Passport CA","","","","","65537","","","","",""
